"","id","lat","long","type","site","code","locationtype","country"
"132",27423,49.897382,8.846132,"Dressel 20","Dieburg","AS","Civil Settlement","Germany"
"133",27423,49.897382,8.846132,"Dressel 20","Dieburg","SVPERSTISFIIC","Civil Settlement","Germany"
"143",12016,50.11552,8.684167,"Dressel 20","Frankfurt am Main","CCXV","Civil Settlement","Germany"
"144",12016,50.11552,8.684167,"Dressel 20","Frankfurt am Main","FISCIRATIONISPATRIMONISPROVINCIAEBAETICAE","Civil Settlement","Germany"
"145",12016,50.11552,8.684167,"Dressel 20","Frankfurt am Main","X","Civil Settlement","Germany"
"146",13945,50.11552,8.684167,"Dressel 20","Frankfurt am Main","LHEDERAAHEDERAF","Civil Settlement","Germany"
"147",13955,50.11552,8.684167,"Dressel 20","Frankfurt am Main","PORTPAH","Civil Settlement","Germany"
"148",13959,50.11552,8.684167,"Dressel 20","Frankfurt am Main","SALS","Civil Settlement","Germany"
"149",13965,50.11552,8.684167,"Dressel 20","Frankfurt am Main","LAP","Civil Settlement","Germany"
"150",13966,50.11552,8.684167,"Dressel 20","Frankfurt am Main","LAPAET","Civil Settlement","Germany"
"151",13983,50.11552,8.684167,"Dressel 20","Frankfurt am Main","CAS","Civil Settlement","Germany"
"152",13999,50.11552,8.684167,"Dressel 20","Frankfurt am Main","MAEMRVS","Civil Settlement","Germany"
"153",14002,50.11552,8.684167,"Dressel 20","Frankfurt am Main","MAEMRVS","Civil Settlement","Germany"
"154",14004,50.11552,8.684167,"Dressel 20","Frankfurt am Main","FALBLIC","Civil Settlement","Germany"
"155",14047,50.11552,8.684167,"Dressel 20","Frankfurt am Main","CAPF","Civil Settlement","Germany"
"156",14061,50.11552,8.684167,"Dressel 20","Frankfurt am Main","TAASIATICI","Civil Settlement","Germany"
"157",14067,50.11552,8.684167,"Dressel 20","Frankfurt am Main","ACIRGIF","Civil Settlement","Germany"
"158",14068,50.11552,8.684167,"Dressel 20","Frankfurt am Main","ACIRGIF","Civil Settlement","Germany"
"159",14071,50.11552,8.684167,"Dressel 20","Frankfurt am Main","ACIRG","Civil Settlement","Germany"
"160",14077,50.11552,8.684167,"Dressel 20","Frankfurt am Main","ACIRGI","Civil Settlement","Germany"
"161",14078,50.11552,8.684167,"Dressel 20","Frankfurt am Main","ACIRGI","Civil Settlement","Germany"
"162",14097,50.11552,8.684167,"Dressel 20","Frankfurt am Main","AGRICOLAE","Civil Settlement","Germany"
"163",14098,50.11552,8.684167,"Dressel 20","Frankfurt am Main","AGRICOLAE","Civil Settlement","Germany"
"164",14103,50.11552,8.684167,"Dressel 20","Frankfurt am Main","ARAXIFM","Civil Settlement","Germany"
"165",14105,50.11552,8.684167,"Dressel 20","Frankfurt am Main","PARVA","Civil Settlement","Germany"
"166",14106,50.11552,8.684167,"Dressel 20","Frankfurt am Main","ARVP","Civil Settlement","Germany"
"167",14112,50.11552,8.684167,"Dressel 20","Frankfurt am Main","BELL","Civil Settlement","Germany"
"168",14129,50.11552,8.684167,"Dressel 20","Frankfurt am Main","QPALMACPALMAC","Civil Settlement","Germany"
"169",14138,50.11552,8.684167,"Dressel 20","Frankfurt am Main","QCCE","Civil Settlement","Germany"
"170",14143,50.11552,8.684167,"Dressel 20","Frankfurt am Main","QCCL","Civil Settlement","Germany"
"171",14146,50.11552,8.684167,"Dressel 20","Frankfurt am Main","LCFPCHEDERALCFPCO","Civil Settlement","Germany"
"172",14149,50.11552,8.684167,"Dressel 20","Frankfurt am Main","LCFPCO","Civil Settlement","Germany"
"173",14153,50.11552,8.684167,"Dressel 20","Frankfurt am Main","LCHE","Civil Settlement","Germany"
"174",14159,50.11552,8.684167,"Dressel 20","Frankfurt am Main","SCLC","Civil Settlement","Germany"
"175",14160,50.11552,8.684167,"Dressel 20","Frankfurt am Main","SCLH","Civil Settlement","Germany"
"176",14169,50.11552,8.684167,"Dressel 20","Frankfurt am Main","LCM","Civil Settlement","Germany"
"177",14176,50.11552,8.684167,"Dressel 20","Frankfurt am Main","LCMY","Civil Settlement","Germany"
"178",14185,50.11552,8.684167,"Dressel 20","Frankfurt am Main","QCM","Civil Settlement","Germany"
"179",14190,50.11552,8.684167,"Dressel 20","Frankfurt am Main","QCR","Civil Settlement","Germany"
"180",14196,50.11552,8.684167,"Dressel 20","Frankfurt am Main","MCS","Civil Settlement","Germany"
"181",14206,50.11552,8.684167,"Dressel 20","Frankfurt am Main","MMCSVR","Civil Settlement","Germany"
"182",14217,50.11552,8.684167,"Dressel 20","Frankfurt am Main","IICAMILIMELISSI","Civil Settlement","Germany"
"183",14231,50.11552,8.684167,"Dressel 20","Frankfurt am Main","QCOCL","Civil Settlement","Germany"
"184",14232,50.11552,8.684167,"Dressel 20","Frankfurt am Main","QCOCL","Civil Settlement","Germany"
"185",14236,50.11552,8.684167,"Dressel 20","Frankfurt am Main","CALPVRNIC","Civil Settlement","Germany"
"186",14241,50.11552,8.684167,"Dressel 20","Frankfurt am Main","FCERARIA","Civil Settlement","Germany"
"187",14245,50.11552,8.684167,"Dressel 20","Frankfurt am Main","PEANT","Civil Settlement","Germany"
"188",14246,50.11552,8.684167,"Dressel 20","Frankfurt am Main","MEEVPRO","Civil Settlement","Germany"
"189",14250,50.11552,8.684167,"Dressel 20","Frankfurt am Main","CENHISPSAE","Civil Settlement","Germany"
"190",14251,50.11552,8.684167,"Dressel 20","Frankfurt am Main","IIIENNIIVLPALMA","Civil Settlement","Germany"
"191",14270,50.11552,8.684167,"Dressel 20","Frankfurt am Main","ELPIST","Civil Settlement","Germany"
"192",14271,50.11552,8.684167,"Dressel 20","Frankfurt am Main","EROTIS","Civil Settlement","Germany"
"193",14278,50.11552,8.684167,"Dressel 20","Frankfurt am Main","QFALB","Civil Settlement","Germany"
"194",14281,50.11552,8.684167,"Dressel 20","Frankfurt am Main","LFC","Civil Settlement","Germany"
"195",14284,50.11552,8.684167,"Dressel 20","Frankfurt am Main","LFCABAB","Civil Settlement","Germany"
"196",14290,50.11552,8.684167,"Dressel 20","Frankfurt am Main","LFCCVCAT","Civil Settlement","Germany"
"197",14295,50.11552,8.684167,"Dressel 20","Frankfurt am Main","LFCCVFCM","Civil Settlement","Germany"
"198",14300,50.11552,8.684167,"Dressel 20","Frankfurt am Main","LFCCVVM","Civil Settlement","Germany"
"199",14301,50.11552,8.684167,"Dressel 20","Frankfurt am Main","LFCCVFM","Civil Settlement","Germany"
"200",14307,50.11552,8.684167,"Dressel 20","Frankfurt am Main","LFCCVFMS","Civil Settlement","Germany"
"201",14314,50.11552,8.684167,"Dressel 20","Frankfurt am Main","LFCFP","Civil Settlement","Germany"
"202",14315,50.11552,8.684167,"Dressel 20","Frankfurt am Main","LFCFP","Civil Settlement","Germany"
"203",14325,50.11552,8.684167,"Dressel 20","Frankfurt am Main","QFC","Civil Settlement","Germany"
"204",14330,50.11552,8.684167,"Dressel 20","Frankfurt am Main","QFCF","Civil Settlement","Germany"
"205",14337,50.11552,8.684167,"Dressel 20","Frankfurt am Main","PORMFDIAB","Civil Settlement","Germany"
"206",14339,50.11552,8.684167,"Dressel 20","Frankfurt am Main","MFDIA","Civil Settlement","Germany"
"207",14355,50.11552,8.684167,"Dressel 20","Frankfurt am Main","LFFV","Civil Settlement","Germany"
"208",14361,50.11552,8.684167,"Dressel 20","Frankfurt am Main","SFF","Civil Settlement","Germany"
"209",14374,50.11552,8.684167,"Dressel 20","Frankfurt am Main","MFR","Civil Settlement","Germany"
"210",14376,50.11552,8.684167,"Dressel 20","Frankfurt am Main","PORLFS","Civil Settlement","Germany"
